15.65 -1
Lombardi et al, Nucl. Phys. A188, 103 (1972) from plot
27 X
17.22 9.592E+02 2.213E+00
18.24 7.389E+02 1.761E+00
19.27 5.537E+02 1.606E+00
20.29 3.883E+02 1.360E+00
21.31 2.832E+02 1.163E+00
22.34 1.905E+02 7.596E-01
23.36 1.252E+02 6.632E-01
25.41 5.218E+01 4.769E-01
26.43 3.655E+01 4.083E-01
27.45 3.321E+01 2.758E-01
28.47 3.048E+01 3.728E-01
29.50 3.418E+01 3.949E-01
30.52 3.940E+01 4.248E-01
33.07 4.741E+01 2.161E-01
35.88 4.770E+01 2.384E-00
38.17 4.044E+01 1.979E-01
40.99 2.797E+01 1.419E-01
43.27 1.751E+01 1.308E-01
46.09 9.899E+00 4.713E-01
51.18 4.290E+00 2.153E-01
53.44 3.678E+00 4.898E-02
56.26 3.690E+00 1.846E-01
58.51 3.072E+00 3.491E-02
61.33 2.680E+00 1.339E-01
66.40 1.330E+00 6.656E-02
76.49 5.520E-01 2.764E-02
81.52 4.870E-01 2.437E-02
86.53 3.180E-01 1.593E-02
89.17 .2875 -4.
91.64 .1523 -4.
94.31 .1 -4.
96.57 .0656 -4.
98.97 .0430 -4.
55 A
15.17 0.0282 0.0028
16.20 -0.0061 0.0028
17.22 -0.0169 0.0028
18.24 -0.0676 0.0035
19.27 -0.784 0.0040
20.29 -0.1188 0.0049
21.31 -0.1361 0.0061
22.34 -0.1667 0.0049
23.36 -0.1462 0.0084
25.41 0.0050 0.0084
26.43 0.3412 0.0153
27.45 0.5781 0.0107
28.47 0.8279 0.0180
29.50 0.8837 0.0181
30.52 0.8424 0.0169
33.07 0.6865 0.0057
35.88 0.5330 0.0020
38.17 0.4567 0.0067
40.99 0.3840 0.0020
43.27 0.3617 0.0103
46.09 0.3770 0.0040
51.18 0.8270 0.0040
53.44 0.9667 0.0142
56.26 1.0010 0.0049
58.51 0.9708 0.0120
61.33 0.9110 0.0061
66.40 0.7850 0.0061
76.49 0.7290 0.0140
81.52 0.7560 0.0371
86.53 0.9030 0.0430
89.17 .851 .05
91.64 .919 .05
94.31 .973 .05
96.57 .949 .05
98.97 .880 .05
101.67 .589 .05
106.57 .440 .05
109.12 .437 .05
111.36 .448 .05
113.91 .457 .05
117.20 .533 .05
119.32 .597 .05
121.86 .676 .05
123.70 .765 .05
126.45 .892 .05
130.53 .942 .05
133.19 .942 .05
134.61 .698 .05
137.67 .668 .05
140.73 .651 .05
143.79 .707 .05
145.43 .744 .05
147.36 .845 .05
149.9 .920 .05
152.87 .947 .05
65.0 -1
Sakaguchi et al., Phys. Rev. C 26, 944 (1982) _________ from plot
35 X
15.34 1414 -4.
16.38 1157  -4.
17.30 876 -4.
18.47 678 -4.
19.64 506.9 -4.
20.49 358  -4.
21.40 267.7 -4.
22.51 180.8 -4.
23.49 120.0 -4.
25.77 49.3 -4.
26.56 34.8 -4.
27.60 31.23 -4.
28.58 28.0 -4.
29.55 31.26 -4.
30.60 35.04 -4.
33.14 45.02 -4.
36.07 45.4 -4.
38.16 37.5 -4.
41.16 26.29 -4.
43.38 16.51 -4.
46.31 9.29 -4.
51.40 3.99 -4.
53.74 3.48 -4.
56.74 3.48 -4.
58.89 2.93 -4.
61.63 2.55 -4.
66.72 1.25 -4.
76.82 .516 -4.
81.71 .450 -4.
86.64 .3074 -4.
89.17 .2875 -4.
